代码,日期,股票名字,收盘价,涨幅%,成交额(万元),自由流通市值(万元),集合竞价成交额(万元),集合竞价涨幅%,首次涨停时间,最后涨停时间,连板数,涨停统计
002338.SZ,20250918,奥普光电,56.85,2.21,139957.39,785924.05296,4189.3138,1.7979144192736385,,,,
603360.SH,20250918,百傲化学,25.43,2.21,64422.13,794002.097925,263.8272,0.3215434083601254,,,,
301486.SZ,20250918,致尚科技,99.04,2.21,102804.79,553069.61672,129.98,0.10319917440659854,,,,
000978.SZ,20250918,桂林旅游,6.98,2.2,26914.76,164973.889346,133.3695,0.2928257686676261,,,,
600258.SH,20250918,首旅酒店,15.37,2.19,45191.2,913069.376187,167.0944,0.0,,,,
603183.SH,20250918,建研院,4.66,2.19,19354.06,176997.14100600002,60.2988,1.0964912280701844,,,,
301082.SZ,20250918,久盛电气,18.64,2.19,27609.48,199655.660784,29.302,-0.21929824561403022,,,,
688352.SH,20250918,颀中科技,12.6,2.19,48298.59,461010.21498,31.8017,-0.16220600162205612,,,,
600054.SH,20250918,黄山旅游,12.62,2.19,41527.82,273480.7635,141.1417,0.16194331983805377,,,,
600066.SH,20250918,宇通客车,28.55,2.18,68450.59,3687962.19232,139.44,0.21474588403722628,,,,
688502.SH,20250918,茂莱光学,442.7,2.18,95641.41,743736.0,1046.001,0.40160642570281624,,,,
002531.SZ,20250918,天顺风能,7.98,2.18,87313.0,702183.6907260001,345.072,-0.1280409731113874,,,,
688488.SH,20250918,艾迪药业,15.52,2.17,20008.96,360668.361216,5.6755,0.1968400263331338,,,,
603858.SH,20250918,步长制药,19.29,2.17,21089.19,888228.1636829999,16.676,0.370762711864403,,,,
000796.SZ,20250918,凯撒旅业,7.07,2.17,166438.5,742164.821853,1765.7260829999998,-1.5895953757225523,,,,
600200.SH,20250918,*ST苏吴,0.95,2.15,2805.27,55867.95321,13.16,1.0752688172043001,,,,
688506.SH,20250918,百利天恒,379.99,2.15,64742.53,2823835.988571,287.5078,-1.3440860215053752,,,,
601113.SH,20250918,华鼎股份,4.29,2.14,39818.92,292320.567396,72.08,0.952380952380949,,,,
300718.SZ,20250918,长盛轴承,101.18,2.14,339889.61,1178241.9903840001,987.1414,0.25237229961638796,,,,
300465.SZ,20250918,高伟达,24.86,2.14,145231.42,801122.7006859999,342.41,-0.3697617091207861,,,,
871981.BJ,20250918,晶赛科技,40.7,2.13,16100.13,99992.15072,23.7762,0.2760351317440346,,,,
600552.SH,20250918,凯盛科技,13.44,2.13,113100.49,897837.101952,226.9932,0.9878419452887366,,,,
300429.SZ,20250918,强力新材,13.93,2.13,57204.74,492783.1680729999,211.815,-1.026392961876832,,,,
300360.SZ,20250918,炬华科技,15.87,2.12,37089.74,522064.125474,67.2624,0.19305019305020377,,,,
